"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","NO","d1","µg/m3",4.35,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","NO2","d1","µg/m3",15.18,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","O3","d1","µg/m3",61.07,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","PM10","d1","µg/m3",4.92,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","PM2.5","d1","µg/m3",2.78,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","O3_max_h1","d1","µg/m3",80.7,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-04T00:00+0100","Zch_Schimmelstrasse","PN","d1","1/cm3",8402.37,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","NOx","d1","ppb",23.2,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","NO","d1","µg/m3",12.85,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","NO2","d1","µg/m3",24.66,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","O3","d1","µg/m3",51.53,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","PM10","d1","µg/m3",5.09,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","PM2.5","d1","µg/m3",3.3,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_max_h1","d1","µg/m3",76.4,"bereinigt"
"2024-01-04T00:00+0100","Zch_Rosengartenstrasse","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","NOx","d1","ppb",3.48,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","NO","d1","µg/m3",0.86,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","NO2","d1","µg/m3",5.33,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","O3","d1","µg/m3",71.59,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","PM10","d1","µg/m3",3.21,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","PM2.5","d1","µg/m3",2.03,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","O3_max_h1","d1","µg/m3",84.1,"bereinigt"
"2024-01-04T00:00+0100","Zch_Heubeeribüel","O3_nb_h1>120","d1","1",0,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","SO2","d1","µg/m3",0.86,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","CO","d1","mg/m3",0.26,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","NOx","d1","ppb",20.21,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO","d1","µg/m3",5.99,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","NO2","d1","µg/m3",29.45,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","O3","d1","µg/m3",27.31,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM10","d1","µg/m3",6.67,"bereinigt"
"2024-01-05T00:00+0100","Zch_Stampfenbachstrasse","PM2.5","d1","µg/m3",4.77,"bereinigt"
